"period","longitude","latitude","date","time","location","site","status","depth","observer","successful.count","detailed.consolidated.boulder.turfmat","detailed.consolidated.boulder.veneer","detailed.consolidated.cobbles.turfmat","detailed.consolidated.cobbles.veneer","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.articulatedcalcareous.","detailed.macroalgae.drift.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.brown","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.brown","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.filamentousandfiliform.","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.octocoral.black.quill.seapen.","detailed.octocoral.black.whip.","detailed.sponges.crusts.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"npz6.34",113.549,-28.0563,20210511,10:39:57,"NPZ6","npz6.34","No-take",49.1,"Claude","Y",0,0,0,0,1.2987012987013,0,0,0,0,0,1.2987012987013,0,0,0,3.8961038961039,0,0,5.19480519480519,0,0,0,0,0,19.4805194805195,0,29.8701298701299,3.8961038961039,0,0,0,35.0649350649351,0,1.73846153846154,0.44289258986107
"npz6.19",113.5314,-28.0463,20210511,10:55:30,"NPZ6","npz6.19","No-take",48.1,"Claude","Y",0,0,0,0,29.4871794871795,0,0,0,0,0,6.41025641025641,21.7948717948718,0,0,5.12820512820513,0,0,0,0,1.28205128205128,0,0,0,2.56410256410256,0,11.5384615384615,1.28205128205128,0,0,0,20.5128205128205,0,2.03125,0.25
"npz6.36",113.4739,-28.0765,20210511,11:22:14,"NPZ6","npz6.36","No-take",52.9,"Claude","Y",0,0,18.9873417721519,0,0,0,0,0,0,0,1.26582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.746835443038,0,0.596774193548387,0.494549883752722
"npz6.5",113.4763,-28.0839,20210511,11:32:29,"NPZ6","npz6.5","No-take",53.2,"Claude","Y",0,0,0,2.53164556962025,0,3.79746835443038,0,0,0,0,1.26582278481013,0,0,0,5.06329113924051,0,0,8.86075949367089,0,0,0,0,0,1.26582278481013,0,5.06329113924051,0,0,0,0,72.1518987341772,0,1.20289855072464,0.530807103129906
"npz6.37",113.4639,-28.0964,20210511,11:46:02,"NPZ6","npz6.37","No-take",39.2,"Claude","Y",0,1.47058823529412,16.1764705882353,8.82352941176471,5.88235294117647,0,0,0,0,0,19.1176470588235,0,0,0,17.6470588235294,1.47058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4117647058824,0,1.95384615384615,0.21145103088313
"npz6.14",113.4589,-28.0912,20210511,11:56:15,"NPZ6","npz6.14","No-take",25.5,"Claude","Y",0,0,0,0,19.7368421052632,2.63157894736842,0,0,0,0,9.21052631578947,6.57894736842105,0,0,60.5263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31578947368421,0,2.92424242424242,0.364189555910151
"npz6.33",113.4437,-28.0887,20210511,12:10:09,"NPZ6","npz6.33","No-take",28,"Claude","Y",0,0,0,0,0,0,0,0,1.26582278481013,0,0,8.86075949367089,0,8.86075949367089,81.0126582278481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.29",113.4589,-28.0837,20210511,12:23:21,"NPZ6","npz6.29","No-take",43.1,"Claude","Y",2.5,0,2.5,0,0,1.25,0,0,0,0,2.5,1.25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,72.5,0,0.923076923076923,0.268543077764787
"npz6.11",113.4539,-28.0761,20210511,12:34:24,"NPZ6","npz6.11","No-take",34,"Claude","Y",0,0,0,0,10.958904109589,0,0,2.73972602739726,0,0,20.5479452054795,0,0,5.47945205479452,53.4246575342466,0,0,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,5.47945205479452,0,2.6865671641791,0.467389760908861
"npz6.13",113.4489,-28.0537,20210511,12:50:37,"NPZ6","npz6.13","No-take",57,"Claude","Y",0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,1,0
