"opcode","longitude","latitude","date","time","site","location","status","depth","observer","successful.count","detailed.consolidated.boulder.turfmat","detailed.consolidated.cobbles.nobiota","detailed.consolidated.cobbles.turfmat","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"npz6.24",113.4414,-28.0787,20210512,09:07:00,"npz6.27","NPZ6","No-take",53.7,"Molly","Y",0,0,0,6.66666666666667,0,0,0,26.6666666666667,13.3333333333333,20,0,0,0,0,0,20,13.3333333333333,0,0,0,0,0,3,0
"npz6.14",113.4213,-28.0937,20210512,08:56:00,"npz6.14","NPZ6","No-take",42.1,"Molly","Y",0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,2.75,0.447213595499958
"npz6.6",113.4439,-28.0837,20210512,09:04:00,"npz6.6","NPZ6","No-take",55.1,"Molly","Y",0,0,0,0,0,0,0,83.3333333333333,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.2",113.4339,-28.0612,20210512,09:26:00,"npz6.2","NPZ6","No-take",43.6,"Molly","Y",0,0,91.6666666666667,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"npz6.18",113.4438,-28.0962,20210512,08:48:00,"npz6.19","NPZ6","No-take",42.7,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0
"npz6.22",113.4512,-28.0687,20210512,09:16:00,"npz6.23","NPZ6","No-take",45,"Molly","Y",0,0,0,0,0,0,0,0,29.4117647058824,29.4117647058824,23.5294117647059,17.6470588235294,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.20",113.4593,-28.0736,20210512,09:13:00,"npz6.21","NPZ6","No-take",50.4,"Molly","Y",0,0,55.5555555555556,0,0,0,0,0,0,0,0,11.1111111111111,0,0,0,0,11.1111111111111,0,0,0,22.2222222222222,0,1,0
"npz6.26",113.4563,-28.0937,20210512,08:43:00,"npz6.29","NPZ6","No-take",33.7,"Molly","Y",0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,2.13333333333333,0.351865775274498
"npz6.27",113.4464,-28.0562,20210512,09:21:00,"npz6.30","NPZ6","No-take",39,"Molly","Y",0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.8",113.3413,-28.0688,20210512,11:45:00,"npz6.8","NPZ6","No-take",154,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.15",113.3488,-28.0588,20210512,11:41:00,"npz6.15","NPZ6","No-take",145,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.9",113.3814,-28.0386,20210512,11:28:00,"npz6.9","NPZ6","No-take",77.2,"Molly","Y",0,0,0,36.3636363636364,0,54.5454545454545,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,1,0
"npz6.13",113.3714,-28.0611,20210512,11:19:00,"npz6.13","NPZ6","No-take",109,"Molly","Y",0,0,0,11.1111111111111,0,66.6666666666667,0,0,0,0,0,0,11.1111111111111,0,0,0,0,0,0,0,11.1111111111111,0,2.81818181818182,0.404519917477945
"npz6.10",113.3764,-28.0787,20210512,11:07:00,"npz6.10","NPZ6","No-take",112,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7692307692308,0,69.2307692307692,0,0,0
"npz6.17",113.3839,-28.0837,20210512,11:03:00,"npz6.18","NPZ6","No-take",94,"Molly","Y",0,0,0,0,0,57.1428571428571,0,0,0,0,0,0,0,7.14285714285714,7.14285714285714,7.14285714285714,21.4285714285714,0,0,0,0,0,2.57142857142857,0.646206172658864
"npz6.4",113.3988,-28.0814,20210512,10:57:00,"npz6.4","NPZ6","No-take",67.5,"Molly","Y",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"npz6.21",113.3992,-28.0714,20210512,10:54:00,"npz6.22","NPZ6","No-take",59.3,"Molly","Y",0,0,0,0,0,56.25,0,0,0,0,0,0,12.5,0,12.5,6.25,0,0,0,0,12.5,0,2.2,0.414039335605413
